,url,header,header_len,meta,meta_len,bytes,word_count,inlinks,unique_in,outlinks,unique_out,ext_links,unique_ext,pa,pub_date
37,https://www.mayoclinic.org/diseases-conditions/adult-adhd/symptoms-causes/syc-20350878,adult attention-deficit/hyperactivity disorder (adhd),53,"This mental health disorder includes a combination of persistent problems, such as difficulty paying attention, hyperactivity and impulsive behavior.",149,49226,1667,12,3,71,45,67,45,0.0,2019-06-22
38,https://www.mayoclinic.org/diseases-conditions/frozen-shoulder/symptoms-causes/syc-20372684,frozen shoulder,15,"Frozen shoulder — Comprehensive overview covers symptoms, causes and treatment of this painful joint condition.",111,47562,1257,13,6,75,48,70,47,0.0,2018-07-20
39,https://www.mayoclinic.org/diseases-conditions/adjustment-disorders/symptoms-causes/syc-20355224,adjustment disorders,20,Adjustment disorders are stress-related conditions where you feel overwhelmed and have a hard time adjusting to a stressful event or change.,140,44844,1511,8,3,71,44,67,45,0.0,2017-10-25
40,https://www.mayoclinic.org/diseases-conditions/adnexal-tumors/symptoms-causes/syc-20355053,adnexal tumors,14,Adnexal tumors — Learn about Mayo Clinic's personalized approach to treatment for these tumors that occur in and around the ovaries and fallopian tubes.,152,39700,814,8,3,69,42,68,46,0.0,2019-10-02
42,https://www.mayoclinic.org/diseases-conditions/adrenal-cancer/symptoms-causes/syc-20351026,adrenal cancer,14,"Learn about this rare cancer that begins in the adrenal glands. Find out about symptoms, diagnosis and treatment, including adrenalectomy.",138,42435,1079,10,5,72,44,67,45,0.0,2019-10-09
43,https://www.mayoclinic.org/diseases-conditions/pheochromocytoma/symptoms-causes/syc-20355367,pheochromocytoma,16,"Find out more about the symptoms, causes, and treatment of this rare adrenal gland tumor.",89,53855,1795,20,11,78,51,67,45,0.0,2020-03-03
44,https://www.mayoclinic.org/diseases-conditions/benign-adrenal-tumors/symptoms-causes/syc-20356190,benign adrenal tumors,21,"Most benign adrenal tumors require no treatment, but there are exceptions. Learn about diagnosis and treatment options at Mayo Clinic.",134,41213,955,9,4,69,42,68,46,0.0,2020-04-15
45,https://www.mayoclinic.org/diseases-conditions/adrenoleukodystrophy/symptoms-causes/syc-20369157,adrenoleukodystrophy,20,"Find out about diagnosis and treatment of adrenoleukodystrophy — a hereditary disorder that affects the brain, nervous system and adrenal gland.",144,40555,970,8,3,71,43,67,45,0.0,2020-02-07
46,https://www.mayoclinic.org/diseases-conditions/adult-stills-disease/symptoms-causes/syc-20351907,adult still's disease,21,"Adult Still's disease — Comprehensive overview covers symptoms, complications, treatment of this inflammatory disorder.",119,46359,1252,16,7,76,50,69,46,0.0,2019-02-12
47,https://www.mayoclinic.org/diseases-conditions/age-spots/symptoms-causes/syc-20355859,age spots (liver spots),23,"Learn more about the harmless dark spots on your skin that tend to appear as you age, especially in areas exposed to the sun. Treatment is available.",149,46951,1528,11,5,72,45,67,45,0.0,2020-01-21
48,https://www.mayoclinic.org/diseases-conditions/dry-macular-degeneration/symptoms-causes/syc-20350375,dry macular degeneration,24,Blurred or reduced central vision could be a sign of macular degeneration. Find out about symptoms and treatment for this common eye disorder.,142,55772,1833,9,4,79,50,72,48,0.0,2019-06-28
49,https://www.mayoclinic.org/diseases-conditions/wet-macular-degeneration/symptoms-causes/syc-20351107,wet macular degeneration,24,Blurred vision or blind spots could be signs of wet macular degeneration. Find out about symptoms and treatment for this chronic eye disorder.,142,57884,1806,9,4,84,53,73,49,0.0,2019-08-13
50,https://www.mayoclinic.org/diseases-conditions/myelofibrosis/symptoms-causes/syc-20355057,myelofibrosis,13,"Find out about this bone marrow cancer. Learn about diagnosis and treatments, including bone marrow transplant, for myelofibrosis and primary myelofibrosis.",156,49322,1511,24,14,84,55,69,46,0.0,2019-05-18
51,https://www.mayoclinic.org/diseases-conditions/agoraphobia/symptoms-causes/syc-20355987,agoraphobia,11,"Agoraphobia is an anxiety disorder in which you fear and avoid places or situations where you might feel panicked, trapped, helpless or embarrassed.",148,45066,1677,8,3,71,44,67,45,0.0,2017-11-18
53,https://www.mayoclinic.org/diseases-conditions/albinism/symptoms-causes/syc-20369184,albinism,8,"In this group of inherited disorders, there is little or no production of melanin, a pigment that determines hair, skin and eye color and vision development.",157,49420,1977,10,4,68,42,67,45,0.0,2018-04-07
